#Energy 	 #levels_created 	 #levels_model 	 #levels_model_from_tot 
5.84558	6	262.588	261.556
5.86092	4	266.995	265.947
5.87627	4	271.476	270.412
5.89162	2	276.033	274.952
5.90698	7	280.665	279.567
5.92232	7	285.376	284.261
5.93768	7	290.165	289.033
5.95303	2	295.035	293.885
5.96837	3	299.987	298.819
5.98372	9	305.022	303.836
5.99907	4	310.141	308.936
6.01443	5	315.346	314.123
6.02977	8	320.639	319.396
6.04513	3	326.02	324.758
6.06048	3	331.492	330.21
6.07583	4	337.056	335.754
6.09117	4	342.713	341.39
6.10652	4	348.465	347.122
6.12188	11	354.313	352.949
6.13722	4	360.26	358.874
6.15258	4	366.306	364.899
6.16793	1	372.454	371.025
6.18328	13	378.705	377.254
6.19862	5	385.061	383.587
6.21397	5	391.524	390.027
6.22933	6	398.095	396.575
6.24467	7	404.777	403.232
6.26003	3	411.571	410.002
6.27538	7	418.478	416.885
6.29073	4	425.502	423.883
6.30607	13	432.643	431
6.32142	7	439.905	438.235
6.33678	5	447.288	445.592
6.35213	3	454.795	453.073
6.36748	5	462.429	460.679
6.38283	11	470.19	468.413
6.39818	6	478.082	476.276
6.41352	7	486.106	484.272
6.42887	5	494.264	492.402
6.44422	7	502.56	500.669
6.45958	5	510.995	509.074
6.47493	8	519.572	517.62
6.49028	8	528.292	526.31
6.50563	5	537.159	535.146
6.52097	10	546.175	544.13
6.53632	8	555.342	553.264
6.55167	10	564.663	562.552
6.56703	13	574.14	571.997
6.58237	9	583.777	581.599
6.59773	8	593.575	591.363
6.61308	12	603.537	601.291
6.62843	8	613.667	611.385
6.64377	9	623.967	621.649
6.65912	9	634.44	632.085
6.67448	10	645.089	642.697
6.68982	13	655.916	653.486
6.70518	10	666.925	664.457
6.72053	6	678.119	675.612
6.73588	12	689.5	686.954
6.75122	12	701.073	698.487
6.76657	15	712.84	710.213
6.78193	10	724.805	722.136
6.79727	9	736.97	734.259
6.81263	11	749.34	746.586
6.82798	15	761.917	759.119
6.84333	12	774.705	771.863
6.85867	12	787.708	784.821
6.87402	11	800.929	797.997
6.88937	11	814.373	811.394
6.90473	11	828.041	825.015
6.92008	12	841.94	838.866
6.93543	15	856.071	852.949
6.95078	12	870.44	867.268
6.96612	17	885.05	881.827
6.98147	14	899.905	896.632
6.99682	12	915.009	911.684
7.01218	12	930.367	926.989
7.02753	16	945.983	942.552
7.04288	12	961.861	958.375
7.05823	13	978.005	974.464
7.07357	15	994.421	990.824
7.08892	16	1011.11	1007.46
7.10427	15	1028.08	1024.37
7.11963	19	1045.34	1041.57
7.13498	21	1062.88	1059.05
7.15033	15	1080.72	1076.83
7.16568	20	1098.86	1094.91
7.18102	12	1117.31	1113.29
7.19637	16	1136.06	1131.98
7.21172	19	1155.13	1150.99
7.22707	16	1174.52	1170.31
7.24243	19	1194.23	1189.96
7.25778	20	1214.28	1209.93
7.27313	21	1234.66	1230.24
7.28848	16	1255.38	1250.9
7.30382	23	1276.45	1271.9
7.31917	24	1297.88	1293.25
7.33452	19	1319.66	1314.96
7.34988	20	1341.81	1337.04
7.36523	19	1364.34	1359.48
7.38058	23	1387.24	1382.31
7.39593	21	1410.52	1405.51
7.41127	28	1434.2	1429.11
7.42662	27	1458.27	1453.1
7.44197	26	1482.75	1477.49
7.45733	24	1507.63	1502.3
7.47268	23	1532.94	1527.52
7.48803	24	1558.67	1553.16
7.50338	26	1584.83	1579.24
7.51872	26	1611.43	1605.75
7.53407	22	1638.48	1632.71
7.54942	28	1665.98	1660.12
7.56478	23	1693.95	1687.99
7.58013	24	1722.38	1716.32
7.59548	28	1751.29	1745.14
7.61083	33	1780.68	1774.43
7.62617	35	1810.57	1804.22
7.64152	24	1840.96	1834.51
7.65687	31	1871.86	1865.31
7.67223	28	1903.28	1896.63
7.68758	34	1935.23	1928.47
7.70293	31	1967.71	1960.84
7.71828	31	2000.74	1993.76
7.73362	33	2034.32	2027.23
7.74897	27	2068.47	2061.26
7.76432	29	2103.19	2095.87
7.77968	35	2138.49	2131.05
7.79503	33	2174.39	2166.83
7.81038	36	2210.88	2203.21
7.82573	33	2247.99	2240.19
7.84108	37	2285.73	2277.8
7.85642	30	2324.09	2316.04
7.87177	38	2363.1	2354.92
7.88712	33	2402.77	2394.46
7.90248	44	2443.1	2434.66
7.91783	39	2484.11	2475.53
7.93318	31	2525.8	2517.09
7.94853	39	2568.2	2559.34
